filename,size,rseries
07180808_2357_F0008,178.438MiB,R68
07180808_2357_F0009,179.691MiB,R68
07180808_2357_F0010,143.795MiB,R68
07180809_0007_F0001,49.779MiB,R68
07180809_0007_F0002,180.808MiB,R68
07180809_0007_F0003,178.750MiB,R68
07180809_0007_F0004,177.661MiB,R68
07180809_0007_F0005,178.708MiB,R68
07180809_0007_F0006,178.437MiB,R68
07180809_0007_F0007,169.089MiB,R68
07180809_0007_F0008,178.252MiB,R68
07180809_0007_F0009,179.583MiB,R68
07180809_0007_F0010,155.131MiB,R68
07180809_0017_F0001,51.076MiB,R68
07180809_0017_F0002,178.642MiB,R68
07180809_0017_F0003,176.517MiB,R68
07180809_0017_F0004,179.249MiB,R68
07180809_0017_F0005,178.366MiB,R68
07180809_0017_F0006,176.569MiB,R68
07180809_0017_F0007,186.398MiB,R68
07180809_0017_F0008,180.844MiB,R68
07180809_0017_F0009,182.353MiB,R68
07180809_0017_F0010,145.389MiB,R68
07180809_0027_F0001,52.099MiB,R68
07180809_0027_F0002,180.891MiB,R68
07180809_0027_F0003,178.412MiB,R68
07180809_0027_F0004,176.602MiB,R68
07180809_0027_F0005,179.284MiB,R68
07180809_0027_F0006,183.226MiB,R68
07180809_0027_F0007,178.841MiB,R68
07180809_0027_F0008,179.383MiB,R68
07180809_0027_F0009,181.147MiB,R68
07180809_0027_F0010,157.308MiB,R68
07180809_0117_F0001,46.255MiB,R68
07180809_0117_F0002,151.029MiB,R68
07180809_0117_F0003,154.073MiB,R68
07180809_0117_F0004,158.921MiB,R68
07180809_0117_F0005,154.456MiB,R68
07180809_0117_F0006,146.377MiB,R68
07180809_0117_F0007,158.615MiB,R68
07180809_0117_F0008,156.965MiB,R68
07180809_0117_F0009,155.036MiB,R68
07180809_0117_F0010,134.966MiB,R68
07180809_0127_F0001,51.045MiB,R68
07180809_0127_F0002,156.398MiB,R68
07180809_0127_F0003,169.903MiB,R68
07180809_0127_F0004,156.708MiB,R68
07180809_0127_F0005,159.913MiB,R68
07180809_0127_F0006,159.860MiB,R68
07180809_0127_F0007,169.991MiB,R68
07180809_0127_F0008,166.293MiB,R68
07180809_0127_F0009,164.022MiB,R68
07180809_0127_F0010,136.066MiB,R68
07180809_0137_F0001,52.444MiB,R68
07180809_0137_F0002,171.064MiB,R68
07180809_0137_F0003,174.231MiB,R68
07180809_0137_F0004,168.111MiB,R68
07180809_0137_F0005,170.062MiB,R68
07180809_0137_F0006,168.937MiB,R68
07180809_0137_F0007,173.152MiB,R68
07180809_0137_F0008,175.833MiB,R68
07180809_0137_F0009,173.354MiB,R68
07180809_0137_F0010,135.056MiB,R68
07180809_0147_F0001,51.723MiB,R68
07180809_0147_F0002,175.489MiB,R68
07180809_0147_F0003,173.124MiB,R68
07180809_0147_F0004,170.026MiB,R68
07180809_0147_F0005,166.867MiB,R68
07180809_0147_F0006,181.253MiB,R68
07180809_0147_F0007,175.249MiB,R68
07180809_0147_F0008,176.807MiB,R68
07180809_0147_F0009,179.356MiB,R68
07180809_0147_F0010,146.049MiB,R68
07180809_0157_F0001,51.481MiB,R68
07180809_0157_F0002,180.753MiB,R68
07180809_0157_F0003,171.523MiB,R68
07180809_0157_F0004,182.778MiB,R68
07180809_0157_F0005,180.092MiB,R68
07180809_0157_F0006,177.666MiB,R68
07180809_0157_F0007,179.887MiB,R68
07180809_0157_F0008,185.598MiB,R68
07180809_0157_F0009,179.545MiB,R68
07180809_0157_F0010,158.008MiB,R68
07180809_0207_F0001,53.958MiB,R68
07180809_0207_F0002,177.509MiB,R68
07180809_0207_F0003,186.010MiB,R68
07180809_0207_F0004,184.992MiB,R68
07180809_0207_F0005,177.073MiB,R68
07180809_0207_F0006,183.205MiB,R68
07180809_0207_F0007,184.175MiB,R68
07180809_0207_F0008,185.335MiB,R68
07180809_0207_F0009,186.406MiB,R68
07180809_0207_F0010,140.322MiB,R68
07180809_0227_F0001,51.106MiB,R68
07180809_0227_F0002,179.897MiB,R68
07180809_0227_F0003,176.343MiB,R68
07180809_0227_F0004,179.820MiB,R68
07180809_0227_F0005,182.465MiB,R68
07180809_0227_F0006,182.473MiB,R68
07180809_0227_F0007,180.112MiB,R68
07180809_0227_F0008,176.257MiB,R68
07180809_0227_F0009,177.451MiB,R68
07180809_0227_F0010,145.799MiB,R68
07180809_0238_F0001,55.550MiB,R68
07180809_0238_F0002,179.794MiB,R68
07180809_0238_F0003,177.357MiB,R68
07180809_0238_F0004,176.830MiB,R68
07180809_0238_F0005,181.413MiB,R68
07180809_0238_F0006,183.226MiB,R68
07180809_0238_F0007,185.816MiB,R68
07180809_0238_F0008,180.840MiB,R68
07180809_0238_F0009,186.554MiB,R68
07180809_0238_F0010,146.001MiB,R68
07180809_0248_F0001,50.172MiB,R68
07180809_0248_F0002,183.887MiB,R68
